station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Al Jubail - SWCC,26.9042,49.76274,lr,loso,49,5368.820408163266,1346.8619593494689,5271.892563218978,1368.4842755323666,127.2676933517627,26962.5052791273,164.2026348117694,0.9851367401906386,-96.9278449442876,2.3704963786505653,3.0584490135319125,428.6075292830833
Rania - TVTC,21.21501,42.84853,lr,loso,28,6412.253571428572,799.1166299117612,6369.2273786932665,787.959916905382,127.47165700788453,22056.54264275633,148.51445263931834,0.965460416146215,-43.02619273530426,1.9879384928859791,2.3161038624714134,268.5347790796277
Wadi Addawasir - TVTC,20.43008,44.89433,lr,loso,15,6290.633333333333,788.4023386289234,6241.2863556994835,815.7365909522241,128.168976820335,23660.263474784373,153.81893080757118,0.9619351810205204,-49.34697763385084,2.0374574391608955,2.4452057949793793,290.4981952317057
Al Uwayqilah,30.327166,42.253735,lr,loso,4,4700.0,1374.3970077819579,4570.33585098856,1454.0455914110457,129.664149011439,39283.674500604626,198.20109611352967,0.9792036220362275,-129.664149011439,2.758811681094447,4.217044598160205,382.4526098609199
Arar - TVTC,31.027395,40.906419,lr,loso,37,5733.135135135134,1774.237785827315,5651.480337522645,1795.024316798345,131.68266046974267,29724.975449943217,172.40932529867175,0.9905572638162019,-81.65479761249115,2.2968699911281405,3.007243353502567,397.52186856176377
Al Khafji - SWCC,28.50676,48.455128,lr,loso,22,5728.686363636364,1368.320342043636,5679.874993161549,1482.1017095185912,138.29861863725958,37653.55112905296,194.04522959622832,0.9798891524338291,-48.81137047481413,2.4141419141939653,3.3872552497891575,471.4498404375322
Al Dhahran - KFUPM,26.30355,50.14412,lr,loso,45,5201.251111111111,1315.5792518248752,5078.7426118003605,1354.6407003222625,139.41548139790004,31363.105357139837,177.09631661087658,0.981878880435995,-122.50849931075109,2.680422044997508,3.404879188250624,524.3363298190784
Timaa - TVTC,27.6173,38.5252,lr,loso,51,6221.5921568627455,1460.165548610927,6268.547568978858,1334.6851083767071,151.4507991715015,33129.447988580476,182.0149663862301,0.9844614673457329,46.95541211611272,2.4342771971069053,2.925536772535917,470.3329579592328
Makkah - UQU,21.331,39.949,lr,loso,23,5840.304347826087,1196.1438442211092,5767.875217116678,1153.5115013152895,152.97210034891705,69691.18976082439,263.9908895413332,0.9512907929482054,-72.42913070940894,2.6192487794896726,4.520156379172216,1032.3721745117136
Yanbu - RCJY,23.98655,38.20451,lr,loso,12,5882.533333333333,1335.5128361627812,5933.494589293675,1363.9859886126203,153.48093809284276,43436.920978183276,208.41526090520165,0.9756464150835417,50.96125596034157,2.609095935302978,3.5429507848976916,523.4279726592531
Al Farshah - TQ TVTC,17.7749,43.17555,lr,loso,45,5783.742222222222,648.1317134619026,5665.479049084763,555.7138895309728,154.702926784187,34780.77574815553,186.49604754030455,0.9172033586925734,-118.26317313745919,2.674789450155461,3.224487544132789,473.4151747231235
Al Hanakiyah - TVTC,24.85577,40.536,lr,loso,51,6190.123529411763,1218.1734376320348,6329.527972707378,1167.5819778783493,158.834356828372,45337.71070275569,212.9265382773028,0.9694478810625226,139.40444329561032,2.5659319409973995,3.4397784998248144,696.55084746173
Al Ahsa - KFU,25.34616,49.5956,lr,loso,18,5549.283333333333,1266.2999443917963,5403.153139304235,1322.8119513741365,165.34732453284704,47142.64606353749,217.1235732561932,0.970600443451866,-146.13019402909794,2.979615827860902,3.912641691080708,531.1184275643218
Taif - University,21.43278,40.49173,lr,loso,25,6213.852,1028.2639618774938,6144.093880413584,913.3812944087348,166.43067754006148,35482.533055813416,188.36807865403685,0.9664412801369945,-69.75811958641486,2.6783817435635977,3.03142203345102,320.08801077007956
Sharurah - TVTC,17.47586,47.08618,lr,loso,41,6656.526829268292,674.428293038572,6751.7003244876,630.0297637440875,169.34053414523765,43612.64859582437,208.83641587573842,0.9041171576273104,95.1734952193067,2.543977339663966,3.137318022328086,418.29574453677833
