station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Hail - TVTC,27.65261,41.70826,rf,loso,46,5909.593478260869,1376.415776794803,5910.51893478261,1312.8800213555794,178.127152173913,51895.59369402174,227.80604402434486,0.9726075296147527,0.9254565217394252,3.0142031398466673,3.854851350813825,576.8849999999993
Jazan - University,16.96035,42.545865,rf,loso,44,5479.720454545455,658.8391897805582,5468.812045454546,669.3539683709606,179.63640909090935,54049.66014177277,232.48582782994058,0.8754814316837135,-10.908409090909242,3.2782038897969703,4.242658539946001,629.1079999999993
Jeddah - KAU,21.49604,39.24492,rf,loso,46,5424.1391304347835,1065.8639036375632,5547.732065217391,1015.2438791739817,179.89397826086943,49746.294497978124,223.03877353047412,0.9562117864797063,123.59293478260837,3.3165443203970626,4.111966307777875,664.7059999999992
Thuwal - KAUST,22.3065,39.107,rf,loso,46,5567.534782608695,1035.9074126029905,5483.154630434784,911.337306822718,192.96249999999986,60377.31830006512,245.7179649518226,0.9437358272109564,-84.38015217391266,3.465851719557401,4.413406912505902,578.5709999999999
Sharurah - TVTC,17.47586,47.08618,rf,loso,41,6656.526829268292,674.428293038572,6550.510487804878,828.8833943281358,199.04487804878016,86272.93444926795,293.7225467158896,0.8103280942304307,-106.01634146341452,2.99022122428161,4.412549581027927,861.3099999999968
Hafar Al Batin - TVTC,28.33202,45.95708,rf,loso,50,5774.338000000001,1488.745472119395,5905.485919999999,1410.862396391,202.91551999999967,68371.68404039975,261.47979661992963,0.9691514063584391,131.14792000000014,3.514091485465514,4.528307775193097,789.1290000000008
Hagl - SWCC,29.28997,34.93002,rf,loso,51,5767.360784313726,1417.5352506013471,5734.8518627450985,1273.256537026342,211.41107843137254,64053.8824484902,253.0886849475697,0.9681229793794124,-32.508921568628004,3.665646841556643,4.38829291963023,614.260000000003
Al Qunfudhah - TVTC,19.15197,41.08111,rf,loso,45,5561.022222222223,862.9555088026493,5471.682355555555,802.3561123288274,215.0460444444451,74418.27547164481,272.79713244762087,0.9000684115463318,-89.33986666666705,3.8670236487296616,4.905521351047744,677.453000000005
Al Uwayqilah,30.327166,42.253735,rf,loso,4,4700.0,1374.3970077819579,4919.3895,1308.793499255039,219.38949999999977,71239.86905250006,266.9079786227831,0.9622863374737856,219.38949999999977,4.667861702127655,5.678893162186874,417.3820000000005
Dammam - IAFU,26.394974,50.188715,rf,loso,24,5679.474999999999,1462.4693592944093,5727.24325,1289.449169831808,228.72558333333302,104416.70189216628,323.13573292374565,0.9511801523421256,47.768250000000954,4.0272310967709695,5.689535263800716,944.9000000000005
Farasan - SWCC,16.692097,42.098767,rf,loso,38,5479.676315789476,759.3133440412188,5562.627526315788,613.8501427568614,231.06694736842047,80232.85561505244,283.2540478352471,0.8608413569049029,82.95121052631605,4.216799205869331,5.169174810911029,682.813000000001
Umluj - SWCC,25.00411,37.27382,rf,loso,51,5969.813725490198,1184.3944103310246,5874.13111764706,1006.1828251364822,237.98080392156763,97914.68894048971,312.9132290915322,0.9302000437565827,-95.68260784313684,3.9864025054152985,5.241591169845723,923.5149999999985
Makkah - UQU,21.331,39.949,rf,loso,23,5840.304347826087,1196.1438442211092,5932.276173913043,1062.5395958833578,240.14113043478233,154287.585535478,392.7945844019212,0.8921639022785974,91.9718260869556,4.111791374779451,6.725584164943897,1349.137999999998
Al Baha - University,20.1794,41.6357,rf,loso,32,6122.075000000001,770.5048710099112,6006.59009375,584.7351449601645,251.36134374999946,118402.32501846844,344.0963891389569,0.8005612914211852,-115.48490624999963,4.1058194117190565,5.620584346630135,898.7479999999987
Arar - TVTC,31.027395,40.906419,rf,loso,37,5733.135135135134,1774.237785827315,5767.499567567567,1593.6479631972136,255.75335135135091,97167.93019199958,311.71770914081793,0.9691326530488182,34.364432432432295,4.460968480997137,5.437124745769149,814.3459999999977
Tabuk - University,28.38287,36.48396,rf,loso,34,6011.488235294117,1461.0986017306425,5963.630705882352,1239.0625727208292,260.54564705882353,116173.18001335299,340.8418695133463,0.9455814673506694,-47.857529411764546,4.334128868940158,5.6698417458795936,837.6799999999994
Najran - University,17.63228,44.53735,rf,loso,50,6840.951999999999,698.6154293286113,6669.460539999997,674.7198550157,260.8538600000001,113482.6225055001,336.8718191026078,0.7674839067090883,-171.49146000000147,3.8131222087218286,4.924341218921106,896.7349999999988
Al Farshah - TQ TVTC,17.7749,43.17555,rf,loso,45,5783.742222222222,648.1317134619026,5668.046844444444,658.8595436058666,272.72600000000034,136338.09551493372,369.23988884590153,0.6754432255155702,-115.69537777777782,4.715389958980812,6.384100028303694,1087.6240000000016
Al Khafji - SWCC,28.50676,48.455128,rf,loso,22,5728.686363636364,1368.320342043636,5585.6285,1243.6810521740308,279.85149999999953,162199.6635398633,402.74019359863166,0.9133687896380772,-143.05786363636363,4.885090267402243,7.030236393374251,1126.9319999999998
Taif - University,21.43278,40.49173,rf,loso,25,6213.852,1028.2639618774938,6078.853679999999,833.5886183397519,296.27840000000003,167488.4009471196,409.25346784983947,0.8415925853194902,-134.99831999999986,4.768031166497046,6.5861476560729075,1059.1859999999951
Yanbu - RCJY,23.98655,38.20451,rf,loso,12,5882.533333333333,1335.5128361627812,5817.017166666666,1143.2123914092415,320.6913333333346,167975.30323300068,409.8479025602067,0.9058220352863553,-65.51616666666796,5.451585484711825,6.967200682702579,994.9200000000001
Al Wajh - TVTC,26.256,36.443,rf,loso,19,6172.1578947368425,1468.5868779977395,5951.021263157893,1099.9004393356336,445.64084210526335,411360.69463968393,641.3740676389123,0.8092680250069229,-221.13663157894777,7.220178901859797,10.391407325885625,1395.9959999999992
