station_name,latitude,longitude,model_name,cv_strategy,num_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,max_absolute_error
Timaa - TVTC,27.6173,38.5252,transformer,loso,51,6221.5921568627455,1460.165548610927,6258.259870940564,1455.4479061895072,65.97048674938728,6541.46008639205,80.87929331041444,0.9969318930036497,36.66771407781858,1.060347336921118,1.29997742171512,191.70371093749964
Riyadh - K.A.CARE HQ,24.707744,46.6792,transformer,loso,45,5699.173333333333,1256.6968934295792,5662.271348741319,1315.622246544038,67.9682693142361,7193.211201338823,84.81280092850857,0.9954452795292723,-36.901984592013875,1.1925987391312207,1.4881597026090667,197.40185546875
Al Qunfudhah - TVTC,19.15197,41.08111,transformer,loso,45,5561.022222222223,862.9555088026493,5557.148328993056,876.2303598740682,71.50277777777784,8673.07292807432,93.12933441228022,0.9883534797200828,-3.8738932291666868,1.2857847877688364,1.6746801341690214,227.30498046874982
Majmaah - University,25.85891,45.41889,transformer,loso,51,5979.882352941176,1368.858325315889,5975.317574295344,1392.6773296100882,71.56758961397063,7794.776287178159,88.28803025992912,0.9958400639727047,-4.56477864583328,1.1968059802843858,1.4764175120686962,266.3795898437502
Riyadh - K.A.CARE City T2,24.52958,46.43635,transformer,loso,45,5906.017777777777,1218.4886161486907,5863.640977647569,1259.4590500879137,75.18397894965278,8713.491078515524,93.34608228798638,0.9941312009592282,-42.376800130208316,1.2730063094720623,1.5805249120518081,246.35942382812482
Al Wajh - TVTC,26.256,36.443,transformer,loso,19,6172.1578947368425,1468.5868779977395,6182.8077970805925,1501.5921892347924,76.07760587993421,11344.976338103941,106.51279894033365,0.9947397751622535,10.649902343750071,1.2325933195067407,1.725697896211629,293.66845703125
Hail - TVTC,27.65261,41.70826,transformer,loso,46,5909.593478260869,1376.415776794803,5918.2296354874325,1379.46485462233,76.45717242697015,9672.647981907134,98.3496211579238,0.9948944080887963,8.636157226562506,1.2937805740483976,1.6642366606047336,279.31191406250036
Al Jubail - SWCC,26.9042,49.76274,transformer,loso,49,5368.820408163266,1346.8619593494689,5342.785390425702,1362.7003491731916,79.29681620695158,10319.273135852485,101.58382319962409,0.9943114322621691,-26.035017737563773,1.47698768404287,1.8921069336788836,312.3004882812502
Jazan - University,16.96035,42.545865,transformer,loso,44,5479.720454545455,658.8391897805582,5422.055242365057,649.6632931254628,79.75742631392042,10195.877026911641,100.97463556216304,0.9765109344482492,-57.66521218039768,1.455501735453699,1.842696838274005,297.2158203125
Rania - TVTC,21.21501,42.84853,transformer,loso,28,6412.253571428572,799.1166299117612,6387.819859095982,764.3793454852882,83.57400251116067,10515.293347199296,102.54410440000584,0.9835335092087963,-24.433712332589234,1.3033483716792784,1.599189789638345,269.3181640624998
Thuwal - KAUST,22.3065,39.107,transformer,loso,46,5567.534782608695,1035.9074126029905,5506.0625583814535,1037.2524902191935,83.70868397588312,11939.923831150278,109.26995850255585,0.9888734717533301,-61.472224227241874,1.5035143424225006,1.9626273165617634,381.89589843750036
Al Jouf - TVTC,29.77634,40.02318,transformer,loso,40,5857.597500000001,1618.4891058464837,5913.208636474609,1644.3254388812093,86.60806518554685,13589.596445659932,116.57442449208116,0.9948121549132646,55.61113647460941,1.4785595149811308,1.990140573709292,290.125
Al Dhahran - KFUPM,26.30355,50.14412,transformer,loso,45,5201.251111111111,1315.5792518248752,5126.634293619792,1344.815599040022,87.93048936631943,13213.52455337211,114.95009592589346,0.9923654288831746,-74.6168174913194,1.69056420249503,2.2100470342670575,283.1458007812498
Arar - TVTC,31.027395,40.906419,transformer,loso,37,5733.135135135134,1774.237785827315,5724.756268475507,1758.0675080727697,88.58791437922294,11407.912634999428,106.80783040114348,0.9963760471526202,-8.378866659628354,1.5451914579218244,1.8629916770420925,217.48613281249982
Afif - TVTC,23.92118,42.94815,transformer,loso,49,6219.828571428571,1173.7154214767074,6305.2984394929845,1165.42218450882,92.26801458864793,11677.726444141821,108.06352966723705,0.9915231855713661,85.46986806441326,1.4834494798215283,1.7374036667768964,214.61738281250018
Al Khafji - SWCC,28.50676,48.455128,transformer,loso,22,5728.686363636364,1368.320342043636,5739.7084849964485,1427.556922057138,94.41162775213068,13056.067278054077,114.26314925667889,0.9930267246788306,11.022121360085272,1.6480502118499916,1.9945785473957898,214.78144531250018
Dammam - IAFU,26.394974,50.188715,transformer,loso,24,5679.474999999999,1462.4693592944093,5719.748545328776,1512.623424701957,95.30674438476565,15598.805977869932,124.8951799625187,0.992706805351209,40.27354532877598,1.6780907457954415,2.199062060534094,342.3844726562502
Al Hanakiyah - TVTC,24.85577,40.536,transformer,loso,51,6190.123529411763,1218.1734376320348,6265.019267961091,1246.812875836877,95.31417260263486,27453.141624000447,165.689895962308,0.9814999117709555,74.89573854932601,1.5397781990901949,2.6766815746898867,826.3470703125004
Wadi Addawasir - TVTC,20.43008,44.89433,transformer,loso,15,6290.633333333333,788.4023386289234,6262.234147135417,840.2432170714427,96.59193359375004,13342.512553979886,115.50979419070872,0.9785344602928896,-28.399186197916606,1.5354882167733515,1.836218836323455,264.81582031250036
Mahd ad Dahab,23.419423,40.743138,transformer,loso,7,5798.400000000001,949.9375588502045,5771.505789620535,944.0018705952276,99.85821707589275,15760.703152170154,125.54163911694857,0.9825343211296316,-26.89421037946418,1.722168478819894,2.1651082905102883,215.84941406249982
Al Baha - University,20.1794,41.6357,transformer,loso,32,6122.075000000001,770.5048710099112,6050.634780883789,765.1192889594664,101.87603454589839,16267.787082461404,127.545235436144,0.9725982876885638,-71.44021911621093,1.6640768782789885,2.083366104403229,338.06015624999964
Madinah - Taibah University,24.4846,39.5418,transformer,loso,24,5939.904166666667,1174.7210255627954,5892.525950113933,1226.4501958479136,105.47633666992193,23388.425517036227,152.9327483472269,0.9830514908321344,-47.37821655273442,1.7757245522887408,2.5746669315887147,446.8552734374998
Sharurah - TVTC,17.47586,47.08618,transformer,loso,41,6656.526829268292,674.428293038572,6644.332102705793,766.7025450244021,107.0,18570.320293370696,136.27296244439208,0.9591729658521565,-12.194726562500053,1.6074448844632958,2.0472081903915598,298.0504882812502
Tabuk - University,28.38287,36.48396,transformer,loso,34,6011.488235294117,1461.0986017306425,5948.355282054228,1457.1341013494175,107.43709788602939,20705.089338104724,143.89263128494358,0.9903011987790689,-63.132953239889666,1.7871963427501067,2.3936274288974553,355.2314453125
Hafar Al Batin - TVTC,28.33202,45.95708,transformer,loso,50,5774.338000000001,1488.745472119395,5862.1832666015625,1536.660823709647,114.59635449218749,17138.551889368777,130.91429215089076,0.9922672634108655,87.84526660156249,1.984579955177329,2.2671740405721095,297.4440429687502
Farasan - SWCC,16.692097,42.098767,transformer,loso,38,5479.676315789476,759.3133440412188,5398.414846319902,707.7343459328448,124.21959549753291,93542.46022499615,305.84711903988267,0.8377567177822673,-81.26146946957239,2.266914838374649,5.581481485659947,1302.2396484375004
Makkah - UQU,21.331,39.949,transformer,loso,23,5840.304347826087,1196.1438442211092,5772.790707795516,1173.3897177272052,126.80446883491858,50911.85008290966,225.6365442097305,0.9644162216832695,-67.5136400305707,2.171196247368829,3.8634381150653265,942.62109375
Duba - TVTC,27.34103,35.72295,transformer,loso,51,6060.007843137256,1282.3317258933441,6178.217917049632,1297.6573417268241,132.97356196384806,29335.35352291724,171.27566529696284,0.9821601765573506,118.21007391237742,2.1942803607826336,2.8263274525449082,585.3246093750004
Yanbu - RCJY,23.98655,38.20451,transformer,loso,12,5882.533333333333,1335.5128361627812,5973.4564208984375,1327.7604136045309,134.11953938802105,38592.83200759021,196.45058413654618,0.9783623288599226,90.92308756510438,2.2799622507540014,3.3395575172240908,577.8397460937504
Hagl - SWCC,29.28997,34.93002,transformer,loso,51,5767.360784313726,1417.5352506013471,5643.595286649816,1342.1330036728975,142.18892750459563,33495.98690940395,183.01908892081164,0.9833304052057008,-123.76549766390936,2.465407190951642,3.173359457909994,522.5404296875004
Najran - University,17.63228,44.53735,transformer,loso,50,6840.951999999999,698.6154293286113,6998.2678515625,624.1678293632552,169.23179296874994,49135.65319438778,221.66563376939553,0.8993252899006415,157.31585156249994,2.4738047126883798,3.2402746543082825,535.2471679687496
Al Farshah - TQ TVTC,17.7749,43.17555,transformer,loso,45,5783.742222222222,648.1317134619026,5618.869390190972,638.1744285145976,220.83476779513887,65446.70691251863,255.8255399926259,0.844202223773705,-164.87283203124994,3.8181986559955994,4.4231836441412655,628.5048828125
