fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,inference_time_ms,training_time_s
14,ann,Neural Baseline,loso,Arar - TVTC,1612,37,5733.135135135134,1774.237785827315,5652.827179990618,1663.4750440944945,167.28565484499933,46029.210836145256,214.54419320071392,0.9853778955879686,-80.30795514451852,2.91787391892789,3.742179246498033,0.007081081020186428,0.7701971530914307
15,ann,Neural Baseline,loso,Dammam - IAFU,1625,24,5679.474999999999,1462.4693592944093,5685.771815712997,1348.4379824661878,134.84432456511746,34749.81299133342,186.41301722608702,0.9837527852763582,6.2968157129962306,2.3742392486121955,3.2822226918172372,0.01699999999497474,0.5054547786712646
16,ann,Neural Baseline,loso,Duba - TVTC,1598,51,6060.007843137256,1282.3317258933441,6135.61184018122,1084.9607773488453,222.048886053995,75347.25711451881,274.49454842404214,0.9541787774004211,75.60399704396566,3.6641682948555507,4.529607147866937,0.005294117655983998,0.5180411338806152
17,ann,Neural Baseline,loso,Farasan - SWCC,1611,38,5479.676315789476,759.3133440412188,5568.513256785147,783.945003118545,176.07444781491236,69777.04875606536,264.15345683156477,0.8789762703865076,88.83694099567408,3.213227162844649,4.820603291300561,0.01247631572416714,0.5262115001678467
18,ann,Neural Baseline,loso,Hada Al Sham - KAU,1598,51,5853.949019607843,1122.0203016884318,5835.241571428478,1093.6703562851048,77.22265454367658,10231.61693117868,101.15145540810909,0.9918727645474451,-18.70744817936603,1.3191548864709748,1.7279182833554168,0.00964509800884544,0.4628913402557373
19,ann,Neural Baseline,loso,Hafar Al Batin - TVTC,1599,50,5774.338000000001,1488.745472119395,5845.302267980971,1433.1259694145058,137.55546855651417,31286.42629738084,176.87969441793155,0.9858838894362429,70.96426798097045,2.382185950259825,3.0632029925842845,0.0052299999515526,0.4250221252441406
20,ann,Neural Baseline,loso,Hagl - SWCC,1598,51,5767.360784313726,1417.5352506013471,5686.070120168957,1200.0284825464573,226.9165769515036,68972.20913262527,262.6256063917326,0.9656753275722789,-81.29066414476698,3.9344959581630374,4.553653156328127,0.0057333333340163035,0.5898590087890625
21,ann,Neural Baseline,loso,Hail - TVTC,1603,46,5909.593478260869,1376.415776794803,5903.748488968093,1329.1834524025435,177.75322343584892,44324.302783135834,210.5333768862691,0.9766039452502949,-5.844989292776152,3.0078756532024573,3.562569534786796,0.00611086951444715,0.5583045482635498
22,ann,Neural Baseline,loso,Jazan - University,1605,44,5479.720454545455,658.8391897805582,5451.2149428540515,603.9893590072245,142.44642708814118,32983.136111458385,181.61259898877717,0.9240140848914262,-28.505511691403253,2.599519962190428,3.3142675889265227,0.006304545505289835,0.5919034481048584
23,ann,Neural Baseline,loso,Jeddah - KAU,1603,46,5424.1391304347835,1065.8639036375632,5491.369044291761,974.4986379490182,120.76281661307182,23443.276792995748,153.11197468844736,0.9793645090516487,67.22991385697854,2.2263959996061495,2.8227884832329946,0.0059326087110726485,0.501953125
24,ann,Neural Baseline,loso,Layla - TVTC,1598,51,6283.745098039216,1045.311658059916,6272.180179823867,1052.4309594900062,72.94255501222507,8964.791192135304,94.68258124985452,0.99179556666589,-11.564918215349067,1.1608133982867337,1.5067858382638617,0.0050666666556578865,0.4778153896331787
25,ann,Neural Baseline,loso,Madinah - Taibah University,1625,24,5939.904166666667,1174.7210255627954,5909.021065157812,1169.720934073127,107.38865317244166,19902.64521902215,141.07673521535062,0.9855774744343663,-30.883101508855077,1.807918952212753,2.3750675306689253,0.01457083332449353,0.448718786239624
26,ann,Neural Baseline,loso,Mahd ad Dahab,1642,7,5798.400000000001,949.9375588502045,5903.872132926589,977.7709199665683,132.33330485785675,44528.61193378198,211.01803698684617,0.9506543312776244,105.47213292658931,2.282238287421646,3.6392459469309837,0.03738571415721838,0.4917280673980713
27,ann,Neural Baseline,loso,Majmaah - University,1598,51,5979.882352941176,1368.858325315889,5960.7214830253415,1315.9846403302174,91.66170006942347,13312.437043579279,115.37953476929641,0.9928953847514803,-19.16086991583559,1.5328345050858756,1.9294616174605435,0.005215686256883154,0.45365238189697266
28,ann,Neural Baseline,loso,Makkah - UQU,1626,23,5840.304347826087,1196.1438442211092,5861.826922129131,1092.8061595142428,177.96882146061193,91053.51369791513,301.750747634393,0.9363600411081187,21.52257430304393,3.04725252078441,5.16669559775104,0.011360869710029954,0.631171464920044
29,ann,Neural Baseline,loso,Najran - University,1599,50,6840.951999999999,698.6154293286113,6846.406238725959,607.3322389946061,142.3187579598714,33657.7062777184,183.4603670489035,0.931038266476008,5.454238725960131,2.0803940439849806,2.6817958531049992,0.005416000058175996,0.4250047206878662
30,ann,Neural Baseline,loso,Osfan - KAU,1603,46,5753.413043478261,1092.5723178947324,5804.676613776731,1004.27955547336,114.71120222335858,21562.570817725453,146.84199269189128,0.981936572794092,51.263570298469965,1.9937939681453711,2.552258834577207,0.006204347775327852,0.6874010562896729
31,ann,Neural Baseline,loso,Rania - TVTC,1621,28,6412.253571428572,799.1166299117612,6414.632038974211,764.2238680070586,100.5225043583084,15905.168496011684,126.11569488375221,0.9750931997877287,2.3784675456399134,1.5676626514929477,1.9667920720679668,0.009528571484094885,0.4535179138183594
32,ann,Neural Baseline,loso,Riyadh - K.A.CARE City T2,1604,45,5906.017777777777,1218.4886161486907,5874.329606001103,1207.0860307991752,89.33150116592012,13549.24352351613,116.4012178781482,0.9908741758409487,-31.688171776675336,1.512550495564752,1.9708917625701052,0.006191111040405101,0.5162031650543213
