fold,model_name,category,cv_strategy,held_out_station,num_train_samples,num_test_samples,actual_mean_ghi,actual_std_ghi,pred_mean_ghi,pred_std_ghi,mae,mse,rmse,r2,mbe,nmae_pct,nrmse_pct,inference_time_ms,training_time_s
24,transformer,Deep Learning,loso,Layla - TVTC,1598,51,6283.745098039216,1045.311658059916,6280.91845703125,1045.3428955078125,50.04640203737745,3717.05561154964,60.96766037457596,0.9965982102303852,-2.8266601562500178,0.7964422690060098,0.9702440093185886,0.1073372548882046,17.16179347038269
25,transformer,Deep Learning,loso,Madinah - Taibah University,1625,24,5939.904166666667,1174.7210255627954,5892.52587890625,1226.4501953125,105.47633666992193,23388.425517036227,152.9327483472269,0.9830514908321344,-47.37821655273442,1.7757245522887408,2.5746669315887147,0.11819583338971522,17.469736337661743
26,transformer,Deep Learning,loso,Mahd ad Dahab,1642,7,5798.400000000001,949.9375588502045,5771.50634765625,944.0018920898438,99.85821707589275,15760.703152170154,125.54163911694857,0.9825343211296316,-26.89421037946418,1.722168478819894,2.1651082905102883,0.23445714292133094,17.920260190963745
27,transformer,Deep Learning,loso,Majmaah - University,1598,51,5979.882352941176,1368.858325315889,5975.3173828125,1392.6773681640625,71.56758961397063,7794.776287178159,88.28803025992912,0.9958400639727047,-4.56477864583328,1.1968059802843858,1.4764175120686962,0.1018686273834878,17.1439688205719
28,transformer,Deep Learning,loso,Makkah - UQU,1626,23,5840.304347826087,1196.1438442211092,5772.79052734375,1173.3896484375,126.80446883491858,50911.85008290966,225.6365442097305,0.9644162216832695,-67.5136400305707,2.171196247368829,3.8634381150653265,0.1224000000587219,17.651610136032104
29,transformer,Deep Learning,loso,Najran - University,1599,50,6840.951999999999,698.6154293286113,6998.267578125,624.1678466796875,169.23179296874994,49135.65319438778,221.66563376939553,0.8993252899006415,157.31585156249994,2.4738047126883798,3.2402746543082825,0.10893999999098014,17.0853168964386
30,transformer,Deep Learning,loso,Osfan - KAU,1603,46,5753.413043478261,1092.5723178947324,5793.69580078125,1100.202880859375,62.43114491338315,6274.152385157552,79.20954731064654,0.9947440082239682,40.28298552139947,1.0851149472772776,1.3767401490569835,0.11441304353787057,17.51117444038391
31,transformer,Deep Learning,loso,Rania - TVTC,1621,28,6412.253571428572,799.1166299117612,6387.8203125,764.37939453125,83.57400251116067,10515.293347199296,102.54410440000584,0.9835335092087963,-24.433712332589234,1.3033483716792784,1.599189789638345,0.10329285708264381,17.47645902633667
32,transformer,Deep Learning,loso,Riyadh - K.A.CARE City T2,1604,45,5906.017777777777,1218.4886161486907,5863.64111328125,1259.4591064453125,75.18397894965278,8713.491078515524,93.34608228798638,0.9941312009592282,-42.376800130208316,1.2730063094720623,1.5805249120518081,0.09613333329778267,17.519636154174805
33,transformer,Deep Learning,loso,Riyadh - K.A.CARE HQ,1604,45,5699.173333333333,1256.6968934295792,5662.27099609375,1315.6221923828125,67.9682693142361,7193.211201338823,84.81280092850857,0.9954452795292723,-36.901984592013875,1.1925987391312207,1.4881597026090667,0.09288666664765009,17.41212296485901
34,transformer,Deep Learning,loso,Riyadh - KSU,1598,51,5913.5,1281.0528315627353,5894.16552734375,1311.8446044921875,61.11221947763478,5784.166891554895,76.05371057058883,0.9964754251839116,-19.33403703278186,1.0334356891457646,1.2861031634495448,0.10937843142207439,17.27925133705139
35,transformer,Deep Learning,loso,Shaqra - University,1602,47,5994.593617021277,1329.9769433938534,5998.521484375,1355.01220703125,61.287680767952125,5941.547075792579,77.0814314591561,0.9966409898332167,3.927669963430859,1.0223825780938602,1.285849156484739,0.08995319141367292,18.238234996795654
36,transformer,Deep Learning,loso,Sharurah - TVTC,1608,41,6656.526829268292,674.428293038572,6644.33154296875,766.7025756835938,107.0,18570.320293370696,136.27296244439208,0.9591729658521565,-12.194726562500053,1.6074448844632958,2.0472081903915598,0.10163658536351627,18.429413557052612
37,transformer,Deep Learning,loso,Tabuk - University,1615,34,6011.488235294117,1461.0986017306425,5948.35546875,1457.134033203125,107.43709788602939,20705.089338104724,143.89263128494358,0.9903011987790689,-63.132953239889666,1.7871963427501067,2.3936274288974553,0.14767352941442582,17.152770280838013
38,transformer,Deep Learning,loso,Taif - University,1624,25,6213.852,1028.2639618774938,6209.87451171875,999.3583374023438,61.84907812500009,5686.057646147925,75.40595232571448,0.9946222324270979,-3.978171874999971,0.9953419895581692,1.213513812780132,0.10973999989801086,17.63045048713684
39,transformer,Deep Learning,loso,Thuwal - KAUST,1603,46,5567.534782608695,1035.9074126029905,5506.0625,1037.25244140625,83.70868397588312,11939.923831150278,109.26995850255585,0.9888734717533301,-61.472224227241874,1.5035143424225006,1.9626273165617634,0.09357608700077474,17.348219394683838
40,transformer,Deep Learning,loso,Timaa - TVTC,1598,51,6221.5921568627455,1460.165548610927,6258.259765625,1455.447998046875,65.97048674938728,6541.46008639205,80.87929331041444,0.9969318930036497,36.66771407781858,1.060347336921118,1.29997742171512,0.10851176471880856,17.293384552001953
41,transformer,Deep Learning,loso,Umluj - SWCC,1598,51,5969.813725490198,1184.3944103310246,5995.69921875,1176.6612548828125,59.11750536151965,5623.333547395819,74.98888949301636,0.9959913222439084,25.884918811274485,0.9902738691677577,1.256134494998147,0.10420784311980813,17.082550048828125
42,transformer,Deep Learning,loso,Wadi Addawasir - TVTC,1634,15,6290.633333333333,788.4023386289234,6262.234375,840.2431640625,96.59193359375004,13342.512553979886,115.50979419070872,0.9785344602928896,-28.399186197916606,1.5354882167733515,1.836218836323455,0.09805333320400678,17.803776502609253
43,transformer,Deep Learning,loso,Yanbu - RCJY,1637,12,5882.533333333333,1335.5128361627812,5973.45556640625,1327.7603759765625,134.11953938802105,38592.83200759021,196.45058413654618,0.9783623288599226,90.92308756510438,2.2799622507540014,3.3395575172240908,0.12149166680804531,17.746645212173462
